"eventId","day","participantId","cohortId","action","originProject","destinationProject","requestedAmount","unit","executedAmount","sharesBurned","sharesMinted","gross","net","feesCCLX","currency","provenance","status","rejectionReason","capitalNew","capitalRecycled","cannibalizedCapital"
"e35","13","u00052","long_term","deposit","wallet","forest","179.07831512912236","CCLX","179.07831512912236","0","160.35348542034626","179.07831512912236","178.72015849886412","0.35815663025824473","CCLX","unrestricted","executed","","179.07831512912236","0",""
"e36","13","u00108","active_user","deposit","wallet","mangrove","54.23061153426251","CCLX","54.23061153426251","0","54.94727432751097","54.23061153426251","54.122150311193984","0.10846122306852501","CCLX","unrestricted","executed","","54.23061153426251","0",""
"e38","13","u00093","active_user","deposit","wallet","solar","61.86712595140946","CCLX","61.86712595140946","0","51.88443661155179","61.86712595140946","61.743391699506645","0.12373425190281893","CCLX","unrestricted","executed","","61.86712595140946","0",""
"e40","15","u00165","rebalancer","deposit","wallet","solar","100.01801421826751","CCLX","100.01801421826751","0","83.87903200183064","100.01801421826751","99.81797818983098","0.20003602843653503","CCLX","unrestricted","executed","","100.01801421826751","0",""
"e41","15","u00169","active_user","deposit","wallet","solar","304.46041702815734","CCLX","304.46041702815734","0","255.3295432832092","304.46041702815734","303.851496194101","0.6089208340563147","CCLX","unrestricted","executed","","304.46041702815734","0",""
"e42","16","u00049","long_term","deposit","wallet","forest","40.99196931360564","CCLX","40.99196931360564","0","36.705367805669084","40.99196931360564","40.909985374978426","0.08198393862721128","CCLX","unrestricted","executed","","40.99196931360564","0",""
"e43","16","u00115","rebalancer","deposit","wallet","mangrove","283.72976257805965","CCLX","283.72976257805965","0","287.47178367991","283.72976257805965","283.16230305290355","0.5674595251561193","CCLX","unrestricted","executed","","283.72976257805965","0",""
"e45","17","u00009","active_user","deposit","wallet","solar","217.59445795717224","CCLX","217.59445795717224","0","182.47848617471755","217.59445795717224","217.1592690412579","0.4351889159143445","CCLX","unrestricted","executed","","217.59445795717224","0",""
"e46","18","u00074","whale","deposit","wallet","forest","1224.3537967919494","CCLX","1224.3537967919494","0","1096.2541297057178","1224.3537967919494","1221.9050891983654","2.448707593583899","CCLX","unrestricted","executed","","1224.3537967919494","0",""
"e47","18","u00181","rebalancer","deposit","wallet","forest","12.040234377004145","CCLX","12.040234377004145","0","10.779866227414459","12.040234377004145","12.016153908250137","0.02408046875400829","CCLX","unrestricted","executed","","12.040234377004145","0",""
